qd1,qd2,phrase1,phrase2,label
4671,4672,certainly would make investigation held moral debate want thought right,yet wait,1
4673,4674,wait four year word save henry bon alive,probation durance three accepted nt believe ever promise henry bon demand offer,1
4675,4676,judith could know happen,notice often try reconstruct cause lead action men woman sort astonishment find reduce belief possible belief stem old virtue,1
4677,4678,thief steal greed love murderer kill lust pity,judith give implicit trust give love give implicit love derive breath pride true pride false kind transforms moment understand scorn outrage vent pique laceration true pride say without abasement love accept substitute something happen father father right never see wrong come send happy suffer must,1
4679,4680,wait make effort anything else relation father alter one jot see together bon might never even two calm impenetrable face see together carriage town next month ellen take bed christmas day day sutpen rode away sartoris regiment,nt talk tell one another anything learn bon judith knew bon henry,1
4681,4682,need talk,much alike,1
4683,4684,two people become seem know one another well much alike power need communicate speech atrophy disuse comprehend without need medium ear intellect longer understand one another actual word,tell henry bon discover university company depart bon henry enrol hid somewhere,1
4685,4686,must must pause oxford long enough enroll rid one knew either oxford jefferson knew member company time would almost impossible conceal otherwise,mother sister kin sweetheart young come oxford far away food bedding servant bivouac among family house oxford watch gallant mimic march countermarch son brother drawn rich poor aristocrat redneck probably move masssight human massexperience far spectacle many virgin go sacrifice heathen principle sight young men light quick bone bright gallant delude blood flesh dress martial glitter brass plume march away battle,1
4687,4688,receive lieutenancy company enter first engagement even,nt think want even imagine try avoid refuse,1
4689,4690,orphan situation two officer man still watcher watch wait something know act fate destiny irrevocable sentence judge arbiter since nothing less would nothing halfway reversible would seem officer lieutenant possess slight authorize advantage able say go least sometimes remain behind platoon direct private carry officer shot shoulder back regiment fell back yankee gun pittsburgh land carry safety apparently sole purpose watch two year write judith meanwhile alive,judith,1
4691,4692,live alone,solitude certainly idleness judith impenetrable serene face little old little thinner appear town carriage beside father within week learn fiance brother quit house night vanished,1
4693,4694,come town madeover dress southern woman wore carriage still drawn mule plow mule soon plow mule coachman drive either put mule harness take join wound jefferson improvised hospital nurture virgin supremely traditionally idle clean dress selffouled body strange injured dead make lint window curtain sheet linen house born none ask brother sweetheart talk among son brother husband tear grief perhaps least certainty knowledge,judith wait like henry bon know unlike henry bon even know,1
4695,4696,ellen die butterfly forgotten summer two year defunctive substanceless shell shade impervious alteration dissolution weightlessness body bury shape recollection translate peaceful afternoon without bell catafalque cedar grove lie powder light paradox beneath thousand pound marble monument sutpen colonel sutpen since sartoris depose annual election regimental officer year brought regimental forage wagon charleston south carolina set faint grassy depression judith told ellen grave,want keep,1
4697,4698,yes judith say,destroy,1
4699,4700,like,read like nt read like,1
4701,4702,make little impression see,maybe could go someone stranger well give scrap anything mean anything even read keep even bother throw away destroy least would something would happen remember even passing one hand another one mind another would least scratch something something might make mark something reason die someday block stone cant never become cant ever die perish grandmother watch impenetrable calm absolutely serene face cry,1
4703,4704,think face watch comprehend still serene even bitter oh,somebody take care clytie father soon want something eat come home wont last much longer since begin shoot one another,1
4705,4706,woman nt love,nt even believe men,1
4707,4708,anyway,would nt room go whereever,1
4709,4710,would full already,glut,1
4711,4712,like theater opera house expect find forget diversion entertainment like bed already full want find chance lie still sleep sleep sleep compson move,half rise quentin take letter beneath dim bugfouled globe open carefully though sheet desiccate square paper intact ash former shape substance meanwhile mr compson voice speak quentin heard without listen see say love,1
4713,4714,letter many gallant flowery indolent frequent insincere sent hand forty mile oxford jefferson first metropolitan gallant idle delicately flatter doubtless meaningless gesture bucolic bucolic maiden profound absolutely inexplicable tranquil patient clairvoyance woman metropolitan gallant foppish posturing jackanape antic small boy receive letter without understand even keep elegant gallant tediously contrive turn form metaphor next one arrive,fact philosopher deduce derive curious apt commentary time augur future letter hold sheet notepaper see best french watermark date seventy year ago salvage steal gutted mansion ruin aristocrat write upon best stove polish manufacture twelve month ago new england factory,1
4715,4716,yes,stove polish,1
4717,4718,capture story,imagine u assortment homogeneous scarecrow wont say hungry woman lady female either mason dixon year grace word would sheer redundancy like say breathing,1
4719,4720,wo nt say rag even shoeless since long enough grown accustom thank god restores faith human nature perhaps least man really become inure hardship privation mind gross omnivorous carrionheavy soul becomes inure body thank god never reconcile old soft feel soap clean linen something sole foot earth distinguish foot beast,say merely need ammunition,1
4721,4722,stove polish,gallon gallon gallon best stove polish box year old yet doubtless still try overtake general sherman belated amend field order require polish stove fire house,1
4723,4724,laugh,yes laugh learn least four year really require empty stomach laugh hungry frighten extract ultimate essence laugh empty stomach extract ultimate essence alcohol,1
4725,4726,least stove polish,plenty,1
4727,4728,much take much say say see,conclusion augury draw even though philosopher,1
4729,4730,wait long enough,notice insult either say wait long enough,1
4731,4732,therefore since insult say wait add expect,say expect,1
4733,4734,one thing dead die therefore,start fire,1
4735,4736,mention redundancy like breathing need ammunition,sometimes think never stop,1
4737,4738,nt stop course nt mean,mean never one fusillade four year ago sound arrest mesmerize raise muzzle raise muzzle frozen attitude aghast amazement never repeat loud aghast echo jarred drop musket weary sentry fall spent body air lie land fusillade first sound must remain yet space heaven receive,1
4739,4740,mean dawn must stop,stop,1
4741,4742,say,think rememberingremark say become period without boundary location time mindless irrational companion inmate body even four year sort dismal incorruptible fidelity incredibly admirable still immerse obliviously bemuse recollection old peace contentment name whose scent sound know remember ignores even presence threat torn arm leg though secretly incur infallible promise conviction mortality,1
4743,4744,finish,say expect,1
4745,4746,something else even alive,since within sheet paper hold best old south dead word read write upon best box say best new north conquer therefore whether like survive believe strangely enough include among doom live,1
4747,4748,mr compson say,receive clytie make wedding gown veil scrap intend go lint,1
4749,4750,nt know would come nt know maybe told henry show henry letter sent maybe maybe still watch wait one say henry wait long enough henry say renounce,renounce,1
4751,4752,say renounce,four year give chance opportunity renounce seem doom live doom defianceeeeee ultimatum deliver beside bivouac fire ultimatum discharge gate two must ridden side side almost one calm undeviating perhaps unresisting even fatalist last remorseless implacable unalterable grief seem quentin could actually see face one another gate,1
4753,4754,inside gate park spread unkempt shaggy desolation air dreamy remote aghast like unshaven face man wake ether huge house young girl wait wedding dress make steal scrap house partake air scale desolation suffer invasion shell maroon forgotten backwater skeleton give slow driblet furniture carpet linen silver help die torn anguish men knew even die month sacrifice anguish vain,face one another two gaunt horse two men young yet world yet breathe long enough old old eye unkempt hair face gaunt weather cast spartan even niggard hand bronze worn patch gray weather color dead leaf one tarnished braid officer plain cuff pistol lie yet across saddle bow unaimed two face calm voice even raise dont pas shadow post branch charles go pas henry wash jones sit saddleless mule miss rosa gate shout name sunny peaceful quiet street say air rosie coldfield,1
4755,4756,well come yon,henry shot durn french feller,1
4757,4758,kilt dead beef,traverse twelve mile two year since ellen die four year since henry vanished nineteen year since saw light breathe,1
4759,4760,twelve mile toward rode beside animal could stand street house bellow placidly populous listen solitude nephew murder sister fiance yet could permit force mule drew u beyond walk hit war nt none mine hisn neither besides hit aint decent bait vittles since corn give february turn actual gate last must stop mule point whip spit first say hit right yonder,right fool,1
4761,4762,cry hit take whip hand struck mule,tell go drive past ellen ruin weedchoked flower bed reach house shell thought cocooncasket marriagebed youth grief found come late thought come soon,1
4763,4764,rot portico scale wall stood ravage invade marked bullet soldier iron heel rather though reserve something desolation profound ruin stood iron juxtaposition iron flame holocaust found less fierce less implacable hurl rather fall back impervious indomitable skeleton flame durst instant final crisis assail even one step one plank rot free tilt beneath foot would touch light fast ran hallway whose carpet long since go tablelinen lint saw sutpen face even cry henry,henry,1
4765,4766,fool try tell,realize come late thought come soon,1
4767,4768,henry face,deep existence lead movement limb clumzy belated accompaniment like many unnecessary instrument played crudely amateurishly time tune barren hall naked stair carpet go rise dim upper hallway echo spoke mine rather lose irrevocable mighthavebeen haunt house enclose wall erect human hand shelter warmth hide world curious look see dark turning ancient young delusion pride hope ambition ay love take,1
4769,4770,judith,say,1
4771,4772,judith,answer,1
4773,4774,expect none possibly even expect judith answer child full instant comprehend terror call parent actually know terror destroys judgement whatever even hear,wait say,1
4775,4776,dont go,still stop would require hand still run accomplish last foot across seem glare one another two face two abstract contradiction actually neither voice raise though spoke one another free limitation restriction speech hearing,1
4777,4778,say,dont go rosa,1
4779,4780,say quiet still though spoke house say house built suppuration create sweat body might produce even invisible cocoonlike complementary shell ellen live die stranger henry judith would victim prisoner die,name word fact call rosa,1
4781,4782,child call call henry judith know even still call judith henry spoke give name,might naturally call rosa still since everyone else knew still child,1
4783,4784,meant fact instant stood face face instant still advance body brush past reach stair grace respect anyone else knew knew instant enter door knew child,rosa,1
4785,4786,cry,face,1
4787,4788,touch stop dead,possibly even body stop since seem aware thrust blindly still solid yet imponderable weight owner instrument still say bar stair possibly sound voice single word spoken stairhead u already broken part u body even pause,1
4789,4790,know,know entire seem run blind full tilt something monstrous immobile shock impact soon quick mere amazement outrage black arrest untimorous hand white woman flesh,1
4791,4792,something touch flesh flesh abrogates cut sharp straight across devious intricate channel decorous order enemy well lover know make touch citadel central iam private spirit liquorish ungirdled mind anyone take darken hallway earthly tenement,let flesh touch flesh watch fall eggshell shibholeth caste color,1
4793,4794,yes stop dead woman hand negro hand bitted bridlecurb check guide furious unbend cry speak negro woman shock yet outrage would terror soon expect receive answer new spoke take hand nigger,get none,1
4795,4796,stood motion attitude action run rigid furious immobility two u join hand arm held u like fierce rigid umbilical cord twin sistered fell darkness produce,child watch judith even henry scuff rough game possibly child know played heard judith even slept together room judith bed pallet floor ostensibly,1
4797,4798,heard one occasion ellen found pallet bed together,even child would even play object judith played though warp spartan solitude call childhood taught little else listen could comprehend understand even heard also taught instinctively fear shun object touch,1
4799,4800,stood,suddenly outrage wait instinctively cry terror cumulative overreach despair,1
4801,4802,remember stood join volitionless yes sentient victim hand aloud word judith mind perhaps knew already instant enter house saw face less sutpen perhaps knew even could would must believe cry,sister sister,1
4803,4804,expect,selfmesmered fool come twelve mile expect,1
4805,4806,henry perhaps emerge door knew touch hand knob weight foot sill knew weight find stand hall small plain frighten creature neither man woman ever look twice see four year seldom enough would recognize worn brown silk become mother creature stood call give name,henry emerge say rosa aunt rosa,1
4807,4808,wake aunt rosa wake dreamer cling yet dream patient cling last thin unbearable ecstatic instant agony order sharpen savor pain surcease wake reality reality unchanged unaltered old time time alter fit dream conjunctive dreamer becomes immolate apotheosied mother judith nursery child father charles walk garden,wake aunt rosa wake,1
4809,4810,expect perhaps even hope even dream since dream nt come pair come twelve mile drawn mortal mule chimerafoal nightmare self,found dreamstate run without move terror believe toward safety faith held shift foundationless quicksand nightmare face soul inquisitor hand agent crucifixion voice part u broke spell,1
4811,4812,say one word clytie,like cold still judith house speak though judith voice,1
4813,4814,oh knew well believe grieve seemliness knew well,move hand hand go realize remove,1
4815,4816,know remove ran beneath touch,go tell ran flee stair found grieve widowed bride judith stand close door chamber gingham dress worn time see since ellen die hold something one hang hand grief anguish put away complete complete know along unfinished wedding dress,1
4817,4818,yes rosa,say like stop run midstride though body blind unsentient barrow delude clay breath still advanced saw held lax negligent hand photograph picture metal case give held casual forgotten flank interrupt pastime book,1
4819,4820,found,perhaps expect knew even nineteen knew would say nineteen particular kind nineteen year find,1
4821,4822,perhaps could nt even want could nt accepted less even nineteen must know living one constant perpetual instant arrasveil whatistobe hang docile even glad light naked thrust dare brave enough wise enough wisdom need make rend gash,perhaps lack courage either cowardice face sickness somewhere prime foundation factual scheme prisoner soul miasmaldistillant boil ever upward sunward tug tenuous prisoner artery vein prisoning turn spark dream globy complete instant freedom mirror repeat repeat,1
4823,4824,creates reduces fragile evanescent iridescent sphere space time massy earth relict seethe anonymous miasmal mass year time taught boon death recreate renew die go vanished true wisdom comprehend mighthavebeen true truth dreamer wake say dream,rather say indicts high heaven self wake since wake shall never sleep,1
4825,4826,wasdo mark wistaria sunimpacted wall distills penetrates room though lightunimpeded secret attritive progress mote mote obscurity myriad component,substance sight smell muscle see hear feel mind thought thing memory brain recall muscle grope less resultant sum usually incorrect false worthy name dream,1
4827,4828,sleep outflung hand touch bedside candle remembers pain spring back free mind brain sleep make adjacent heat trashy myth really escape sleep hand sensuous marriage dulcet surface transform sleep brain mind figmentstuff warp experience,ay grief go fade know ask tear duct forgotten weep,1
4829,4830,told either summer wistaria,pervade everywhere wistaria fourteen though spring yet capitulate condense one spring one summer spring summertime every female breathe dust beholden betrayed spring held irrevocable time repercuss bloom,1
4831,4832,vintage year wistaria vintage year sweet conjunction root bloom urge hour weather fourteen insist bloom man yet would child less even child child woman even less female flesh,say bitter pale crimped halffledging intimidate claim green might drawn tender mayfly childhood sweetheart game give pause male predacious wasp bee later lust,1
4833,4834,root urge insist claim heired far unsistered eve since snake,yes urge warp chrysalis blind perfect seed shall say gnarl forgotten root might bloom yet globed concentrate globed concentrate headyperfect neglect root plant warp lay dead merely slept forgot,1
4835,4836,miscast summer barren youth short time short brief unreturning springtime female heart live woman girl rather man perhaps,summer virgin itch discontent summer caesarean lack torn dead flesh even embryo living else friction ravish malefurrowed meat also weaponed panoplied man instead hollow woman,1
4837,4838,summer first christmas henry brought home summer follow two day june vacation spent sutpen hundred rode river take steamboat home summer aunt left papa go away business sent ellen possibly father chose ellen refuge time thomas sutpen also absent stay could take care born late born curious disjoint father life left twice widowed hand competent enough reach kitchen shelf count spoon hem sheet measure milk churn yet good nothing else yet still valuable left alone,never see never saw,1
4839,4840,never even saw dead,heard name saw photograph help make grave though house first new year day henry brought nephew duty speak way back school home,1
4841,4842,even heard name know exist,yet day go stay summer though casual pause door left seed minute virulence cellar earth mine quick love perhaps love could,1
4843,4844,never even heard voice ellen word person quick spy doubtless call past six month new year june give substance shadow name emerge ellen vain garrulous folly shape without even face yet even see photograph reflect secret bemuse gaze young girl learn nothing love even parent fond dear constant violation privacy stultification burgeon incorrigible need due mammalian meat become mistress beloved even love become polymath love androgynous advocate,must seed left cause child vacant fairytale come alive garden,1
4845,4846,spy would follow,spy though say even spy jealousy love,1
4847,4848,could never see,even woman love judith love thought,1
4849,4850,love still say could,way mother love punish child strike strike neighbor boy whip whip caress reward child rather nameless man woman palmsweated penny,1
4851,4852,woman love,ask nothing see,1
4853,4854,give nothing sum love,nt even miss,1
4855,4856,nt know even ever aware see nothing face photograph shadow picture young girl bedroom picture casual frame upon litter dress table yet bower dress thought maiden invisible lily rose even saw photograph could recognize nay described face,never saw,1
4857,4858,even know knowledge ellen ever saw judith ever love henry slew dispute say invent create,know god would invent seethe turmoil call progress something machine perhaps would adorn barren mirror altar every plain girl breathes little since want picture face,1
4859,4860,would even need skull behind almost anonymous would need vague inference walk flesh blood desire someone else even shadowrealm makebelieve,picture see stealth creep childhood taught instead love stood good stead fact taught love love could stood desert midday room look,1
4861,4862,dream since dwelt dream renew rehearse part faulty though eager amateur might steal wingward interim visible scene hear prompter momentary voice,jealousy man jealousy jealousy lover even lover self spy love spy watch taste touch maiden revery solitude first thin veil call virginity spring force shame part love declare gloat upon rich instantaneous bosom already rosy flushy sleep though shame yet need wake,1
4863,4864,spy would walk rake sand garden path think print save obliterate rake even despite rake still beside slow mutual rhythm wherein heart mind need watch docile ay willing foot would think suspiration twin soul murmurous myriad ear seclude vine shrub listen,vow promise rapt biding fire lilac rain wistaria heavy rise dissolution crown,1
4865,4866,best well far actual living dreamy flesh,oh spy dream lurk harborage shrub vine believe dream upon nooky seat held invisible imprint absent thigh obliterate sand million fingernerves frond leaf sun moony constellation look circumambient air held somewhere yet foot passing shape face speak voice name charles bon charles good charles husbandsoontobe,1
4867,4868,spy even hiding child enough need hide whose presence would violation even though sat yet woman enough go entitle receive perhaps pleasure gratitude maiden shameless confidence young girl talk love,yes child enough go say let sleep woman enough say let u lie bed together tell love yet say dont talk love let tell know already love ever know need,1
4869,4870,father return come take home become nondescript long child yet short woman fitless garment aunt left behind keep fitless house spy hiding wait watch reward thanks love sense mean love sort without hope love love sort beyond compass glib book love give never penny modicum donor yet whose infinitesimal weight add nothing substance yet give,though say take,1
4871,4872,love love though feel give weight would ever know lack yet may come moment married life find atom particle might find cramped small pallid hidden shoot familiar flower bed pause say come,need answer nt know,1
4873,4874,go back home stayed five year heard echoed shot ran nightmare flight stair found woman stand calmly gingham dress close door would allow woman strange grief less woman say yes rosa,yes must love faith left u father husband sweetheart brother carry pride hope peace honor vanguard flag must else men fight,1
4875,4876,else worth die,yes die honor empty sake pride even peace love faith left behind,1
4877,4878,die know knew pride peace else prove love immortality,love faith,1
4879,4880,love without hope perhaps faith little proud love faith least murder folly salvage least humble indict dust something anyway old lose enchantment heart,found stand close door enter enter knowledge jones man carry coffin stair photograph hang side face absolutely calm look moment raise voice enough heard hall clytie,1
4881,4882,miss rosa dinner well get meal shall go stair,speak mr jones plank nail,1
4883,4884,rather since finish blow suffer tedious repercussive anticlimax rubbishy aftermath clear away threshold despair,see never saw,1
4885,4886,never even saw dead,heard echo shot saw close door enter,1
4887,4888,must,stop long long enough jones turn spit say hit would nt fur tote box back turn far amaze fumble ratiocination inertia hit would simpler yit fetch nail plank around maybe missus judy would nt like hit,1
4889,4890,remember carry stair wait wagon try take full weight coffin prove really,could tell,1
4891,4892,one pallbearer yet could would believe something knew could,never saw,1
4893,4894,see,thing happen u intelligence sens refuse stomach sometimes refuse palate accepted digestion stop u dead though impalpable intervention like sheet glass watch subsequent event transpire though soundless vacuum fade vanish go leave u immobile impotent helpless fix die,1
4895,4896,something walk measure cadence measure tread jones companion theophilus mccaslin heard news somehow back town clytie bore awkward unmanageable box past stair close turn judith follow steady behind wagon something help raise could raise alone yet still could believe wait wagon something stood beside gashy earth cedar somber gloom heard clumsy knell clod upon wood answer judith grave wound end say catholic,know theophilus mccaslin say catholic damn soldier,1
4897,4898,pray confedrit soldier cry old man shrill harsh loud cacophonous voice yaaaay forrest,yaaaay john sartoris,1
4899,4900,yaaaaaay,something walk judith clytie back across sunset field answer curious serene suspension serene quiet voice talk plow corn cut winter wood lamplit kitchen help time cook meal help eat within room beyond whose ceiling longer lay go bed yes take candle firm untrembling hand thought even weep lampgloomed mirror saw face thought either within house sojourn another brief time final space left trace even tear,1
4901,4902,yes,one day,1
4903,4904,short fast quick six hour summer afternoon saw space short leave even imprint body mattress blood come blood since never saw,allow know corpse even murderer even speak henry day one u aunt look well ill,1
4905,4906,say one thousand trivial thing indomitable womanblood ignores man world blood kinsman show courage cowardice folly lust fear fellow praise crucify come crashed door cry crime vanished fact still alive much shadowy abstraction nail shot heard echo strange gaunt halfwild horse bridle empty saddle saddle bag contain pistol worn clean shirt lump ironlike bread capture man four mile away two day later try force crib door stable,yes absent return three woman put something earth cover never,1
4907,4908,ask stayed,nt say,1
4909,4910,stayed wait thomas sutpen come home,yes,1
4911,4912,say believe wait even become engage say would believe lie,say,1
4913,4914,wait exactly judith clytie wait give u reason continue exist eat food sleep wake rise know would need u know knew would begin salvage left sutpen hundred restore,would need,1
4915,4916,never one instant thought marriage never one instant imagine would look see since never,may believe shall make bone say moment come tell think,1
4917,4918,even require first day life lead together show u need need man long wash jones live stayed kept father house alive almost four year judith clytie could cut cord wood run furrow well least quicker jones,sad fact one saddest weary tedium heart spirit feel longer need whose need spirit heart necessary,1
4919,4920,need even vicariously could even join furious almost mad intention brought home seem project radiate ahead even dismount desire restore place sacrifice pity gentleness love soft virtue ever sacrifice felt lack desire others,even,1
4921,4922,neither judith want,perhaps believe could think exist apathy almost peace like blind unsentient earth dream flower stalk bud envy airy musical solitude spring leaf nourishes,1
4923,4924,wait,lead busy eventless life three nun barren povertystricken convent wall safe impervious enough even matter wall whether ate,1
4925,4926,amicably two white woman negress three negro three white even three woman merely three creature still possess need eat take pleasure need sleep joy weariness regeneration sex forgotten atrophy like rudimentary gill call tonsil still opposable thumb old climb,though one interchangeable indiscriminate kept garden grow spun thread wove cloth wore hunt found render meager ditchside herb protect guarantee spartan compromise dare time make illness harry nag jones work corn cut wood winter warmth sustenance three u three woman,1
4927,4928,draft circumstance soon age pinchpenny housewifery might exist well upon lighthouse rock even taught cultivate bed flower let alone kitchen garden taught look upon fuel meat something appear volition woodbox pantry shelf judith create circumstance circumstance,hundred year careful nurture perhaps blood even coldfield blood certainly tradition thomas sutpen ruthless carve niche pas soft insulate unscathed cocoon stage bud serve prolific queen potent softhanded matriarch old age serene welllived handicapped year ignorance ten generation iron prohibition learn first principle penury scrimp save sake scrimp save abet clytie would cook twice could eat three time could afford give anyone stranger land already begin fill straggle soldier stop ask least clytie,1
4929,4930,three stranger,know clytie thought life lead food raise cooked unison cloth spun wove together nourish shelter,1
4931,4932,expect open ay honorable enemy,even know judith thought felt,1
4933,4934,slept room three u conserve firewood carry,safety,1
4935,4936,winter soon already soldier begin come back straggler tramp ruffian men risk lose everything suffer beyond endurance return ruin land men march away bad ultimate degradation war brings spirit soul likeness man abuse despair pity beloved wife mistress absence rap,afraid,1
4937,4938,fed give would assume wound left whole could,afraid,1
4939,4940,wake fulfil endless tedious obligation sheer hold life breath entail would sit fire supper three u state bone muscle tire rest attenuate invincible spirit change shape even hopelessness easy obliviousness worn garment talk talk hundred weary recurrent trivia daily life thousand thing one,talk thomas sutpen end war could see would return would begin herculean task knew would set oh yes knew would undoubtedly sweep u old ruthlessness whether would talk henry normal useless impotent womanworrying absent fare cold hungry talk father still live time shot run mad foot put period obliterate though afternoon never,1
4941,4942,mention charles bon,two afternoon late fall judith absent return supper time serene calm,1
4943,4944,ask follow yet knew knew clytie knew go clear grave dead leaf sere brown refuse cedar wound vanish slowly back earth beneath bury nothing,shot,1
4945,4946,sound merely sharp final clapto door u might retroactive severance stream event forever crystallize instant imponderable time accomplish three weak yet indomitable woman precede accomplish fact decline refuse robbed brother prey reft murderer victim bullet,live seven month,1
4947,4948,one afternoon january thomas sutpen come home someone look prepare garden another year food saw rid drive,one even become engage marry,1
4949,4950,take three month,mind nt say,1
4951,4952,yes three moth twenty year look ogre beast tale frighten child see get upon dead sister body already begin destroy one another yet must come like whistle dog first opportunity noon see twenty year first raise head pause look,oh hold brief could would ay doubtless already give thousand specious reason good enough woman range woman natural inconsistency desire even hope possible wealth position even fear die manless doubtless tell old maid always revenge,1
4953,4954,hold brief,could go home,1
4955,4956,perhaps go home,yes,1
4957,4958,henry kill,burst tear,1
4959,4960,yes burst wept yet brought stair afternoon worn ever since cold calm face stop midrunning close door yes burst entire accumulation seven month erupt spontaneously every pore one incredible evacuation move move muscle vanish disappear instantaneously fierce arid aura enclose dry tear faster emerge still stand hand shoulder look clytie say ah clytie face last see little thinner ruthless eye hair grizzle little recognition face judith say rosa,aunt rosa,1
4961,4962,life,rode drive life left ripple save instantaneous incredible tear,1
4963,4964,house spent day stop,shell use room kept eat food produce prepared could neither feel softness bed make distinction viand either quality taste,1
4965,4966,yes,nt,1
4967,4968,something ate u talk answer question sat u fire night rouse without roam profound bemuse complete inertia talk u six ear three mind capable listen air wait grim decay presence spirit house talk sound like bombast madman creates within coffin wall fabulous immeasurable camelot carcassonnes,absent place arbitrary square earth name sutpen hundred,1
4969,4970,absent room elsewhere part encompass ruin field fall fence crumble wall cabin cotton house crib diffuse solution held electric furious immobile urgency awareness short time need haste drawn breath look realize old fiftynine concerned afraid concerned old age might left impotent intend might time would die,right would intend would even pause breath undertaking restore house plantation near possible,1
4971,4972,know would go believe,could know come home nothing nothing four year less nothing,1
4973,4974,stop intimidate,cold alert fury gambler know may lose anyway second flag fierce constant sure keep suspense ever quite crystallize sheer fierce manipulation card dice duct gland luck begin flow,1
4975,4976,pause take day two let bone flesh fiftynine day two might talk u past four year ever told u might war another planet stake risk flesh blood suffer natural period bitter though unmaimed defeat might exhaust something like peace like quiet rag incredulous recount enables man bear living feather balance victory disaster make defeat unbearable turn yet decline slay still alive yet bear live,hardly ever saw,1
4977,4978,would go dawn dark jones another man two get somewhere paid something perhaps coin paid foreign promise threat last force,winter begin learn carpetbagger meant door window night begin frighten tale negro uprising ruin four year fallow neglect land lay idle yet men pistol pocket gather daily secret meeting place town,1
4979,4980,make one remember one night deputation call rode mud early march put point definite yes friend enemy refuse decline offer change gaunt ruthless face level voice defiance defiance want tell every man south would would see restoration land general land south would save ushered room house stood plain doorway hold lamp head spokesman deliver ultimatum war sutpen answer use,oh yes watch watch old man solitary fury fight stubborn yet slowly tractable earth ponderable weight change new time though try dam river bare hand shingle spurious delusion reward fail fail,1
4981,4982,betrayed would time destroy see analogy accelerate circle fatal curve course ruthless pride lust vain magnificence though,could,1
4983,4984,turn twenty true enough yet still child still living womblike corridor world come even living echo dead incomprehensible shadow quiet unalarmed amazement child watch miragy antic men father sister thomas sutpen judith henry charles honor principle marriage love bereavement death child watch child one triumvirate motherwoman three judith clytie make fed clothed warm static shell give vent scope fierce vain illusion say last life worth something even though shield guard antic fury insane child,one afternoon garden hoe path come stablelot look saw look,1
4985,4986,see twenty year look stood path look middle afternoon,clytie,1
4987,4988,go house,love claim hold brief excuse,1
4989,4990,could say need use rebel would use,say could say time know would tell truth,1
4991,4992,know,go even know either since metabolism spirit well entrails store accumulation long time burn generate create break maidenhead raven meat ay second lose shibholeth erupt never one red instant fierce obliteration,1
4993,4994,instant could flee found go remember walk away found okra bed finish without remember complete sat supper table night familiar dreamcloudy shell grown use look meal might say delude sewergush dream incorrigible flesh betray u fire judith bedroom sat always come door look u say judith cease still enter say never mind,rosa mind hear since short time busy come stop put hand head know look spoke save sound voice u anything room say may think make sister ellen good husband,1
4995,4996,probably think,even discount fact old believe promise shall bad least,1
4997,4998,courtship,minute exchange look kitchen garden hand upon head daughter bedroom ukase decree serene florid boast like sentence ay deliver attitude spoken heard read carve bland stone pediment forgotten nameless effigy,1
4999,5000,excuse,claim brief pity answer ask place niche interval reply,1
5001,5002,could make one,could force niche niche shape fit mild yes blind desperate male weapon frenzied slash whose gap wound cry,1
5003,5004,help,save,1
5005,5006,brief pity even move sat beneath hard oblivious childhood ogre hand heard speak judith heard judith foot saw judith hand palm read print chronicle orphan hardship bereave love four hard barren year scoriating loom axe hoe tool decreed men use upon lie ring give ellen church almost thirty year ago,yes analogy paradox madness,1
5007,5008,yes,sat listen voice told mad,1
5009,5010,decree marriage tonight perform ceremony groom minister pronounce wild benediction bedward candle hand mad acquiesce succumb abet plunge,hold brief ask pity,1
5011,5012,save night save mine later colder sacrifice free excuse surprised importunate traitorous flesh fault rather restore ring cease look save look twenty year afternoon reach moment interval sanity mad know sane interval madness keep aware sane,even,1
5013,5014,three month see daily though look since merely make one triumvirate receive gruff unspoken man gratitude spartan ease supply comfort perhaps least mad dream live,next two month even see,1
5015,5016,perhaps reason obvious one busy accomplish engagement grant want need see,certainly even date set wedding,1
5017,5018,almost though afternoon exist never happen,might even house,1
5019,5020,bad could go return home would miss,yes mad yet mad,1
5021,5022,practicality viciousness thief liar murderer even faster rule virtue ever madness,mad compelling dream insane method madman bargain cajole hard manual labor men like jones madman kept clear sheet hood nightgalloping horse men acquaintance even friend discharge canker suppuration defeat madman plan tactic gain low possible price sole woman available wive one device could gain madman since surely something madness even demoniac satan flees aghast handiwork god look spark crumb leaven redeem articulate flesh speech sight hearing taste call human man,1
5023,5024,matter,tell let judge,1
5025,5026,try tell thing three word three many three thousand word many word less one,told could take many sentence repeat bold blank naked outrageous word spoke bequeath sane aghast outrage unbelief knew comprehend meant take three thousand sentence leave,1
5027,5028,ask listen almost fifty year,let judge let tell right,1
5029,5030,see sun thought believe spark crumb madness divine though madness know word terror pity,ogre childhood birth remove sister grim ogrebourne produce two half phantom child encourage desire associate lateborn solitude taught presentiment fateful intertwine warn fatal snarly climax knew name forgave shape rode away beneath flag demon courageously forgive slew body blood memory ogre dwelt return five year later held hand say come might say dog come,1
5031,5032,yes body face right name memory even correct remember except far proof,left behind return ogre villain true enough mortal fallible one less invoke fear pity ogre mad true enough told madness victim also,1
5033,5034,one fate afternoon afternoon afternoon see,even wait tether horse stood rein arm hand head spoke bald outrageous word exactly consult jones man bitch dog cow mare,1
5035,5036,told come back home,rosa coldfield engage last lack fact sister bequeath least something shelter kin might become charge upon town rosie coldfield lose weep found man fail keep rosa coldfield would right right enough woman rather wrong want man wrong admit,1
